,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Labor Day,Labor Day_lower,Labor Day_upper,Martin Luther King Jr. Day,Martin Luther King Jr. Day_lower,Martin Luther King Jr. Day_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,Month,Month_lower,Month_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat
0,2011-01-01,2341.268806,-583.0492998697237,1817.7101858096644,2341.268806,2341.268806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001534490456309056,0.001534490456309056,0.001534490456309056,614.7439438,614.7439438,614.7439438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1719.9877472893345,-1719.9877472893345,-1719.9877472893345,614.7439438,614.7439438,614.7439438,0.001534490456309056,0.001534490456309056,0.001534490456309056,48.16098743089661,48.16098743089661,48.16098743089661,-2382.8926785202316,-2382.8926785202316,-2382.8926785202316,624.8737133491268
1,2011-01-02,2347.0894237643834,-1425.2091474882127,1087.9838083643763,2347.0894237643834,2347.0894237643834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01723692299995598,0.01723692299995598,0.01723692299995598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2587.819623241418,-2587.819623241418,-2587.819623241418,0.0,0.0,0.0,0.01723692299995598,0.01723692299995598,0.01723692299995598,-268.1371773307888,-268.1371773307888,-268.1371773307888,-2319.682445910629,-2319.682445910629,-2319.682445910629,-200.27359980559686
2,2011-01-03,2352.910041528767,-1295.84508422001,1096.1610961363024,2352.910041528767,2352.910041528767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00619959354462714,-0.00619959354462714,-0.00619959354462714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2394.5839214815264,-2394.5839214815264,-2394.5839214815264,0.0,0.0,0.0,-0.00619959354462714,-0.00619959354462714,-0.00619959354462714,-145.16700957197688,-145.16700957197688,-145.16700957197688,-2249.41691190955,-2249.41691190955,-2249.41691190955,-56.26096585730966
3,2011-01-04,2358.7306592931504,-847.8518554492156,1463.9841496383865,2358.7306592931504,2358.7306592931504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04663003789308152,0.04663003789308152,0.04663003789308152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2161.7024951322,-2161.7024951322,-2161.7024951322,0.0,0.0,0.0,0.04663003789308152,0.04663003789308152,0.04663003789308152,11.728953104529436,11.728953104529436,11.728953104529436,-2173.4314482367295,-2173.4314482367295,-2173.4314482367295,307.0158641833632
4,2011-01-05,2364.551277057534,-824.6191506730097,1547.0884348692684,2364.551277057534,2364.551277057534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02916654627737035,0.02916654627737035,0.02916654627737035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2073.47667003615,-2073.47667003615,-2073.47667003615,0.0,0.0,0.0,0.02916654627737035,0.02916654627737035,0.02916654627737035,19.645297793837095,19.645297793837095,19.645297793837095,-2093.121967829987,-2093.121967829987,-2093.121967829987,360.04040126889777
5,2011-01-06,2370.3718948219175,-606.5643774774642,1796.7395462165082,2370.3718948219175,2370.3718948219175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003141125282501956,0.003141125282501956,0.003141125282501956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1825.608640453204,-1825.608640453204,-1825.608640453204,0.0,0.0,0.0,0.003141125282501956,0.003141125282501956,0.003141125282501956,184.3040627600632,184.3040627600632,184.3040627600632,-2009.9127032132674,-2009.9127032132674,-2009.9127032132674,552.2088894564706
6,2011-01-07,2376.1925125863013,-540.8216423674583,1796.6780934291646,2376.1925125863013,2376.1925125863013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009239309042722157,0.009239309042722157,0.009239309042722157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1775.7592577249202,-1775.7592577249202,-1775.7592577249202,0.0,0.0,0.0,0.009239309042722157,0.009239309042722157,0.009239309042722157,149.46488581363008,149.46488581363008,149.46488581363008,-1925.2241435385502,-1925.2241435385502,-1925.2241435385502,622.3876318301682
7,2011-01-08,2382.0131303506846,-515.8689482459262,1863.3088851546077,2382.0131303506846,2382.0131303506846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028894900617215072,0.028894900617215072,0.028894900617215072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1792.280943332912,-1792.280943332912,-1792.280943332912,0.0,0.0,0.0,0.028894900617215072,0.028894900617215072,0.028894900617215072,48.1609874313932,48.1609874313932,48.1609874313932,-1840.4419307643054,-1840.4419307643054,-1840.4419307643054,658.5602196881568
8,2011-01-09,2387.833748115069,-719.7921828325684,1589.2797670058167,2387.833748115069,2387.833748115069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03720424073099919,0.03720424073099919,0.03720424073099919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2025.024653239909,-2025.024653239909,-2025.024653239909,0.0,0.0,0.0,0.03720424073099919,0.03720424073099919,0.03720424073099919,-268.13717733089015,-268.13717733089015,-268.13717733089015,-1756.8874759090186,-1756.8874759090186,-1756.8874759090186,451.6466364656369
9,2011-01-10,2393.654365879452,-550.8554121400423,1774.3031104572917,2393.654365879452,2393.654365879452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01702696480640688,0.01702696480640688,0.01702696480640688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1820.958006551954,-1820.958006551954,-1820.958006551954,0.0,0.0,0.0,0.01702696480640688,0.01702696480640688,0.01702696480640688,-145.1670095719247,-145.1670095719247,-145.1670095719247,-1675.7909969800291,-1675.7909969800291,-1675.7909969800291,613.4530279740302
